district_code,DIST_NAME,EOHHS_REGION,region_confidence,SCHOOL_TYPE
3060000,Wales,Central,largest-area,Traditional
3070000,Walpole,Metro West,largest-area,Traditional
3080000,Waltham,Metro West,largest-area,Traditional
3090000,Ware,Western,largest-area,Traditional
3100000,Wareham,Southeast,largest-area,Traditional
3120000,Warwick,Western,host-town-inferred,Traditional
3140000,Watertown,Metro West,largest-area,Traditional
3150000,Wayland,Metro West,largest-area,Traditional
3160000,Webster,Central,largest-area,Traditional
3170000,Wellesley,Metro West,largest-area,Traditional
3180000,Wellfleet,Southeast,largest-area,Traditional
3220000,West Boylston,Central,largest-area,Traditional
3230000,West Bridgewater,Southeast,largest-area,Traditional
3320000,West Springfield,Western,largest-area,Traditional
3210000,Westborough,Metro West,largest-area,Traditional
3250000,Westfield,Western,largest-area,Traditional
3260000,Westford,Northeast,largest-area,Traditional
3270000,Westhampton,Western,largest-area,Traditional
3300000,Weston,Metro West,largest-area,Traditional
3310000,Westport,Southeast,largest-area,Traditional
3350000,Westwood,Metro West,largest-area,Traditional
3360000,Weymouth,Metro West,largest-area,Traditional
3370000,Whately,Western,largest-area,Traditional
7800000,Whitman-Hanson,Southeast,largest-area,Traditional
8850000,Whittier Regional Vocational Technical,Unknown,no_intersection,Vocational
3400000,Williamsburg,Western,largest-area,Traditional
3420000,Wilmington,Metro West,largest-area,Traditional
3430000,Winchendon,Central,largest-area,Traditional
3440000,Winchester,Metro West,largest-area,Traditional
1440015,Winthrop,Boston,host-town-inferred,Traditional
3470000,Woburn,Metro West,largest-area,Traditional
3480000,Worcester,Central,largest-area,Traditional
35190000,Worcester Cultural Academy Charter Public School (District),Central,host-town-curated,Charter
4080000,Worcester Trade Complex,Central,host-town-inferred,Traditional
3490000,Worthington,Western,largest-area,Traditional
3500000,Wrentham,Metro West,largest-area,Traditional
