District,YEAR,Metric,Value
Amherst-Pelham,2020,In-District FTE Pupils,1345.7
Amherst-Pelham,2021,In-District FTE Pupils,1278.0
Amherst-Pelham,2022,In-District FTE Pupils,1265.1
Amherst-Pelham,2023,In-District FTE Pupils,1241.1
Amherst-Pelham,2024,In-District FTE Pupils,1209.3
Amherst-Pelham,2009,Out-of-District FTE Pupils,111.5
Amherst-Pelham,2010,Out-of-District FTE Pupils,129.2
Amherst-Pelham,2011,Out-of-District FTE Pupils,138.1
Amherst-Pelham,2012,Out-of-District FTE Pupils,142.6
Amherst-Pelham,2013,Out-of-District FTE Pupils,137.6
Amherst-Pelham,2014,Out-of-District FTE Pupils,148.7
Amherst-Pelham,2015,Out-of-District FTE Pupils,169.0
Amherst-Pelham,2016,Out-of-District FTE Pupils,189.8
Amherst-Pelham,2017,Out-of-District FTE Pupils,191.8
Amherst-Pelham,2018,Out-of-District FTE Pupils,169.7
Amherst-Pelham,2019,Out-of-District FTE Pupils,158.3
Amherst-Pelham,2020,Out-of-District FTE Pupils,152.4
Amherst-Pelham,2021,Out-of-District FTE Pupils,155.4
Amherst-Pelham,2022,Out-of-District FTE Pupils,145.0
Amherst-Pelham,2023,Out-of-District FTE Pupils,149.8
Amherst-Pelham,2024,Out-of-District FTE Pupils,146.7
Andover,2009,In-District FTE Pupils,6170.3
Andover,2010,In-District FTE Pupils,6223.1
Andover,2011,In-District FTE Pupils,6264.1
Andover,2012,In-District FTE Pupils,6272.9
Andover,2013,In-District FTE Pupils,6226.8
Andover,2014,In-District FTE Pupils,6169.9
Andover,2015,In-District FTE Pupils,6128.1
Andover,2016,In-District FTE Pupils,6104.6
Andover,2017,In-District FTE Pupils,6050.4
Andover,2018,In-District FTE Pupils,5955.0
Andover,2019,In-District FTE Pupils,5967.5
Andover,2020,In-District FTE Pupils,5869.7
Andover,2021,In-District FTE Pupils,5587.9
Andover,2022,In-District FTE Pupils,5537.0
Andover,2023,In-District FTE Pupils,5569.1
Andover,2024,In-District FTE Pupils,5488.2
Andover,2009,Out-of-District FTE Pupils,115.8
Andover,2010,Out-of-District FTE Pupils,112.2
Andover,2011,Out-of-District FTE Pupils,92.3
Andover,2012,Out-of-District FTE Pupils,100.2
Andover,2013,Out-of-District FTE Pupils,90.8
Andover,2014,Out-of-District FTE Pupils,93.3
Andover,2015,Out-of-District FTE Pupils,109.0
Andover,2016,Out-of-District FTE Pupils,122.2
Andover,2017,Out-of-District FTE Pupils,123.4
Andover,2018,Out-of-District FTE Pupils,124.2
Andover,2019,Out-of-District FTE Pupils,121.5
Andover,2020,Out-of-District FTE Pupils,122.3
Andover,2021,Out-of-District FTE Pupils,104.4
Andover,2022,Out-of-District FTE Pupils,106.8
Andover,2023,Out-of-District FTE Pupils,94.6
Andover,2024,Out-of-District FTE Pupils,94.0
Argosy Collegiate Charter School (District),2019,In-District FTE Pupils,458.9
Argosy Collegiate Charter School (District),2020,In-District FTE Pupils,508.1
Argosy Collegiate Charter School (District),2021,In-District FTE Pupils,568.8
Argosy Collegiate Charter School (District),2022,In-District FTE Pupils,545.1
Argosy Collegiate Charter School (District),2023,In-District FTE Pupils,546.6
Argosy Collegiate Charter School (District),2024,In-District FTE Pupils,566.6
Argosy Collegiate Charter School (District),2019,Out-of-District FTE Pupils,0.0
Argosy Collegiate Charter School (District),2020,Out-of-District FTE Pupils,0.0
Argosy Collegiate Charter School (District),2021,Out-of-District FTE Pupils,0.0
Argosy Collegiate Charter School (District),2022,Out-of-District FTE Pupils,0.0
Argosy Collegiate Charter School (District),2023,Out-of-District FTE Pupils,0.0
Argosy Collegiate Charter School (District),2024,Out-of-District FTE Pupils,0.0
Arlington,2009,In-District FTE Pupils,4723.2
Arlington,2010,In-District FTE Pupils,4837.6
Arlington,2011,In-District FTE Pupils,4440.8
Arlington,2012,In-District FTE Pupils,4878.0
Arlington,2013,In-District FTE Pupils,4955.7
Arlington,2014,In-District FTE Pupils,5080.1
Arlington,2015,In-District FTE Pupils,5272.4
Arlington,2016,In-District FTE Pupils,5330.1
Arlington,2017,In-District FTE Pupils,5537.8
Arlington,2018,In-District FTE Pupils,5712.6
Arlington,2019,In-District FTE Pupils,5957.9
Arlington,2020,In-District FTE Pupils,6096.3
Arlington,2021,In-District FTE Pupils,5739.9
Arlington,2022,In-District FTE Pupils,5970.6
Arlington,2023,In-District FTE Pupils,6019.7
Arlington,2024,In-District FTE Pupils,6065.0
Arlington,2009,Out-of-District FTE Pupils,134.9
Arlington,2010,Out-of-District FTE Pupils,132.8
Arlington,2011,Out-of-District FTE Pupils,115.4
Arlington,2012,Out-of-District FTE Pupils,126.6
Arlington,2013,Out-of-District FTE Pupils,139.2
Arlington,2014,Out-of-District FTE Pupils,151.0
Arlington,2015,Out-of-District FTE Pupils,152.6
Arlington,2016,Out-of-District FTE Pupils,142.8
Arlington,2017,Out-of-District FTE Pupils,157.0
Arlington,2018,Out-of-District FTE Pupils,149.3
Arlington,2019,Out-of-District FTE Pupils,148.7
Arlington,2020,Out-of-District FTE Pupils,101.4
Arlington,2021,Out-of-District FTE Pupils,124.8
Arlington,2022,Out-of-District FTE Pupils,107.5
Arlington,2023,Out-of-District FTE Pupils,98.0
Arlington,2024,Out-of-District FTE Pupils,97.2
Ashburnham-Westminster,2009,In-District FTE Pupils,2428.8
Ashburnham-Westminster,2010,In-District FTE Pupils,2377.6
Ashburnham-Westminster,2011,In-District FTE Pupils,2316.5
Ashburnham-Westminster,2012,In-District FTE Pupils,2258.9
Ashburnham-Westminster,2013,In-District FTE Pupils,2269.6
Ashburnham-Westminster,2014,In-District FTE Pupils,2282.1
Ashburnham-Westminster,2015,In-District FTE Pupils,2322.6
Ashburnham-Westminster,2016,In-District FTE Pupils,2350.1
Ashburnham-Westminster,2017,In-District FTE Pupils,2343.9
Ashburnham-Westminster,2018,In-District FTE Pupils,2375.5
Ashburnham-Westminster,2019,In-District FTE Pupils,2356.7
Ashburnham-Westminster,2020,In-District FTE Pupils,2376.1
Ashburnham-Westminster,2021,In-District FTE Pupils,2204.7
Ashburnham-Westminster,2022,In-District FTE Pupils,2266.8
Ashburnham-Westminster,2023,In-District FTE Pupils,2252.5
Ashburnham-Westminster,2024,In-District FTE Pupils,2246.7
Ashburnham-Westminster,2009,Out-of-District FTE Pupils,82.3
Ashburnham-Westminster,2010,Out-of-District FTE Pupils,101.6
Ashburnham-Westminster,2011,Out-of-District FTE Pupils,87.9
Ashburnham-Westminster,2012,Out-of-District FTE Pupils,92.4
Ashburnham-Westminster,2013,Out-of-District FTE Pupils,73.4
Ashburnham-Westminster,2014,Out-of-District FTE Pupils,82.4
Ashburnham-Westminster,2015,Out-of-District FTE Pupils,85.1
Ashburnham-Westminster,2016,Out-of-District FTE Pupils,84.8
Ashburnham-Westminster,2017,Out-of-District FTE Pupils,90.1
Ashburnham-Westminster,2018,Out-of-District FTE Pupils,78.6
Ashburnham-Westminster,2019,Out-of-District FTE Pupils,81.6
Ashburnham-Westminster,2020,Out-of-District FTE Pupils,89.7
Ashburnham-Westminster,2021,Out-of-District FTE Pupils,98.7
Ashburnham-Westminster,2022,Out-of-District FTE Pupils,101.0
Ashburnham-Westminster,2023,Out-of-District FTE Pupils,98.2
Ashburnham-Westminster,2024,Out-of-District FTE Pupils,89.1
Ashland,2009,In-District FTE Pupils,2640.1
Ashland,2010,In-District FTE Pupils,2642.8
Ashland,2011,In-District FTE Pupils,2602.5
Ashland,2012,In-District FTE Pupils,2576.1
Ashland,2013,In-District FTE Pupils,2547.8
Ashland,2014,In-District FTE Pupils,2569.0
Ashland,2015,In-District FTE Pupils,2586.6
Ashland,2016,In-District FTE Pupils,2698.5
Ashland,2017,In-District FTE Pupils,2709.4
Ashland,2018,In-District FTE Pupils,2762.3
Ashland,2019,In-District FTE Pupils,2853.3
Ashland,2020,In-District FTE Pupils,2869.7
Ashland,2021,In-District FTE Pupils,2754.7
Ashland,2022,In-District FTE Pupils,2919.3
Ashland,2023,In-District FTE Pupils,2889.7
Ashland,2024,In-District FTE Pupils,2914.8
Ashland,2009,Out-of-District FTE Pupils,84.2
Ashland,2010,Out-of-District FTE Pupils,98.2
Ashland,2011,Out-of-District FTE Pupils,122.2
Ashland,2012,Out-of-District FTE Pupils,116.0
Ashland,2013,Out-of-District FTE Pupils,123.1
Ashland,2014,Out-of-District FTE Pupils,137.6
Ashland,2015,Out-of-District FTE Pupils,145.9
Ashland,2016,Out-of-District FTE Pupils,127.3
Ashland,2017,Out-of-District FTE Pupils,108.1
Ashland,2018,Out-of-District FTE Pupils,92.2
Ashland,2019,Out-of-District FTE Pupils,82.8
Ashland,2020,Out-of-District FTE Pupils,67.3
Ashland,2021,Out-of-District FTE Pupils,54.6
Ashland,2022,Out-of-District FTE Pupils,64.8
Ashland,2023,Out-of-District FTE Pupils,60.4
Ashland,2024,Out-of-District FTE Pupils,53.9
Assabet Valley Regional Vocational Technical,2009,In-District FTE Pupils,959.8
Assabet Valley Regional Vocational Technical,2010,In-District FTE Pupils,992.4
Assabet Valley Regional Vocational Technical,2011,In-District FTE Pupils,1022.8
Assabet Valley Regional Vocational Technical,2012,In-District FTE Pupils,1053.8
Assabet Valley Regional Vocational Technical,2013,In-District FTE Pupils,1041.0
Assabet Valley Regional Vocational Technical,2014,In-District FTE Pupils,1046.5
Assabet Valley Regional Vocational Technical,2015,In-District FTE Pupils,1077.7
Assabet Valley Regional Vocational Technical,2016,In-District FTE Pupils,1098.7
Assabet Valley Regional Vocational Technical,2017,In-District FTE Pupils,1133.6
Assabet Valley Regional Vocational Technical,2018,In-District FTE Pupils,1138.8
Assabet Valley Regional Vocational Technical,2019,In-District FTE Pupils,1129.2
Assabet Valley Regional Vocational Technical,2020,In-District FTE Pupils,1160.7
Assabet Valley Regional Vocational Technical,2021,In-District FTE Pupils,1145.5
Assabet Valley Regional Vocational Technical,2022,In-District FTE Pupils,1151.6
Assabet Valley Regional Vocational Technical,2023,In-District FTE Pupils,1092.2
Assabet Valley Regional Vocational Technical,2024,In-District FTE Pupils,1098.5
Assabet Valley Regional Vocational Technical,2009,Out-of-District FTE Pupils,0.0
Assabet Valley Regional Vocational Technical,2010,Out-of-District FTE Pupils,0.0
Assabet Valley Regional Vocational Technical,2011,Out-of-District FTE Pupils,0.0
Assabet Valley Regional Vocational Technical,2012,Out-of-District FTE Pupils,1.0
Assabet Valley Regional Vocational Technical,2013,Out-of-District FTE Pupils,1.5
Assabet Valley Regional Vocational Technical,2014,Out-of-District FTE Pupils,1.6
Assabet Valley Regional Vocational Technical,2015,Out-of-District FTE Pupils,2.0
Assabet Valley Regional Vocational Technical,2016,Out-of-District FTE Pupils,0.0
Assabet Valley Regional Vocational Technical,2017,Out-of-District FTE Pupils,0.0
Assabet Valley Regional Vocational Technical,2018,Out-of-District FTE Pupils,1.0
Assabet Valley Regional Vocational Technical,2019,Out-of-District FTE Pupils,1.0
Assabet Valley Regional Vocational Technical,2020,Out-of-District FTE Pupils,1.0
Assabet Valley Regional Vocational Technical,2021,Out-of-District FTE Pupils,0.0
Assabet Valley Regional Vocational Technical,2022,Out-of-District FTE Pupils,0.0
Assabet Valley Regional Vocational Technical,2023,Out-of-District FTE Pupils,0.6
Assabet Valley Regional Vocational Technical,2024,Out-of-District FTE Pupils,2.8
Athol-Royalston,2009,In-District FTE Pupils,1701.6
Athol-Royalston,2010,In-District FTE Pupils,1662.0
Athol-Royalston,2011,In-District FTE Pupils,1619.2
Athol-Royalston,2012,In-District FTE Pupils,1517.1
Athol-Royalston,2013,In-District FTE Pupils,1440.7
Athol-Royalston,2014,In-District FTE Pupils,1407.1
Athol-Royalston,2015,In-District FTE Pupils,1382.8
Athol-Royalston,2016,In-District FTE Pupils,1404.2
Athol-Royalston,2017,In-District FTE Pupils,1461.5
Athol-Royalston,2018,In-District FTE Pupils,1497.8
Athol-Royalston,2019,In-District FTE Pupils,1475.2
Athol-Royalston,2020,In-District FTE Pupils,1525.1
