Year,Cohort,District,FTE_In_District,FTE_Out_District,FTE_Foundation,Teachers_PPE,"Insurance, Retirement and Other_PPE",Pupil Services_PPE,Other Teaching Services_PPE,Operations and Maintenance_PPE,Instructional Leadership_PPE,Administration_PPE,"Guidance, Counseling and Testing_PPE",Other_PPE,Ch70 Aid,Req NSS (minus Ch70),Actual NSS (minus Req NSS)
2010,Small,Southampton,,,,4248.0,1043.0,655.0,919.0,645.0,568.0,397.0,197.0,406.0,4898.2925430210325,4536.089866156788,426.66156787762907
2010,Small,Southern Berkshire,,,,5299.0,3005.0,1788.0,1311.0,1089.0,1016.0,573.0,422.0,631.0,,,
2010,Medium,Amherst,,,,6213.0,3610.0,1003.0,1813.0,1271.0,1079.0,698.0,383.0,547.0,4371.083985765124,5898.4405693950175,4746.001708185052
2010,Medium,Amherst-Pelham,,,,5511.0,3636.0,1616.0,1264.0,1416.0,1337.0,664.0,580.0,534.0,5494.020986954056,6187.722064662507,2263.700510493477
2010,Medium,Athol-Royalston,,,,4839.0,2023.0,1580.0,1191.0,1021.0,874.0,424.0,389.0,368.0,9241.2587628866,1065.5886597938145,371.2829896907217
2010,Medium,Berkshire Hills,,,,5763.0,3051.0,1738.0,912.0,1140.0,898.0,702.0,456.0,391.0,,,
2010,Medium,Easthampton,,,,4956.0,2034.0,626.0,686.0,989.0,650.0,508.0,448.0,325.0,4317.140928725702,5350.661447084233,297.5056432355376
2010,Medium,Gateway,,,,4021.0,2230.0,1874.0,1190.0,1156.0,1157.0,591.0,420.0,308.0,4659.73312152502,4663.752978554408,1208.5131056393964
2010,Medium,Gill-Montague,,,,5097.0,3258.0,1569.0,1417.0,1354.0,1178.0,706.0,533.0,459.0,5633.925826630921,4652.584450402145,3044.3270777479893
2010,Medium,Granby,,,,4188.0,1104.0,1222.0,595.0,606.0,598.0,452.0,838.0,212.0,4498.374393792435,4212.876818622696,383.4026507374846
2010,Medium,Greenfield,,,,5199.0,3055.0,1471.0,1063.0,1514.0,987.0,557.0,165.0,1067.0,4981.74046997389,4655.332637075718,1774.767886243782
2010,Medium,Hoosac Valley Regional,,,,4211.0,2846.0,1195.0,840.0,793.0,595.0,363.0,260.0,211.0,,,
2010,Medium,Mohawk Trail,,,,5504.0,2855.0,1911.0,1791.0,1506.0,1314.0,659.0,476.0,615.0,,,
2010,Medium,Monson,,,,3710.0,1615.0,1140.0,1224.0,833.0,728.0,336.0,322.0,575.0,5167.214090287278,3525.1169630642958,151.16838907262263
2010,Medium,North Adams,,,,5756.0,2388.0,1319.0,872.0,1164.0,1568.0,534.0,318.0,150.0,,,
2010,Medium,Palmer,,,,4510.0,2131.0,1136.0,684.0,669.0,587.0,335.0,241.0,643.0,5817.723426758329,3308.0491803278687,254.01498968975096
2010,Medium,Pioneer Valley,,,,4478.0,2396.0,1387.0,1408.0,910.0,793.0,402.0,348.0,648.0,,,
2010,Medium,Southwick-Tolland-Granville Regional School District,,,,4351.0,1152.0,997.0,824.0,734.0,710.0,286.0,434.0,481.0,,,
2010,Medium,Ware,,,,3949.0,2291.0,1195.0,963.0,872.0,608.0,408.0,382.0,205.0,5871.615553925165,3639.9090242112975,-52.43816131279993
2010,Large,Agawam,,,,4721.0,2055.0,1150.0,1131.0,1067.0,744.0,435.0,491.0,477.0,3733.953316385487,4899.567598798244,1685.673445805408
2010,Large,Belchertown,,,,3866.0,1488.0,1061.0,927.0,966.0,667.0,400.0,280.0,292.0,4742.947794117647,3598.65625,522.0106530619292
2010,Large,Central Berkshire,,,,4116.0,2405.0,1561.0,1074.0,1126.0,789.0,658.0,364.0,472.0,,,
2010,Large,Chicopee,,,,4811.0,1783.0,1345.0,892.0,995.0,940.0,498.0,268.0,709.0,6250.920270628814,3466.045370124701,113.4168479702843
2010,Large,East Longmeadow,,,,4638.0,1360.0,871.0,888.0,688.0,532.0,439.0,355.0,386.0,,,
2010,Large,Hampden-Wilbraham,,,,4202.0,1679.0,1299.0,830.0,907.0,643.0,335.0,344.0,307.0,3210.160858656259,5325.690270420964,902.3902982994146
2010,Large,Holyoke,,,,5513.0,2156.0,1427.0,1349.0,1279.0,996.0,498.0,426.0,1756.0,9696.893722627738,1211.2540145985402,-33.49468613138599
2010,Large,Longmeadow,,,,4730.0,1337.0,672.0,1083.0,1083.0,668.0,504.0,514.0,624.0,1436.4394440767703,7074.43481138319,2550.3752433960294
2010,Large,Ludlow,,,,4077.0,1967.0,1283.0,859.0,708.0,740.0,417.0,344.0,299.0,4147.743495663776,4535.717144763175,1270.170206195805
2010,Large,Northampton,,,,4254.0,2161.0,911.0,1214.0,1055.0,815.0,515.0,392.0,361.0,2582.6477313326186,6868.786709539121,729.3128208019725
2010,Large,Pittsfield,,,,4380.0,2487.0,889.0,1090.0,1149.0,1289.0,275.0,373.0,725.0,5563.8636074944425,4104.825658939346,679.0649557049694
2010,Large,South Hadley,,,,4938.0,1801.0,966.0,1121.0,981.0,609.0,491.0,331.0,851.0,,,
2010,Large,West Springfield,,,,4459.0,1734.0,1252.0,996.0,854.0,665.0,338.0,554.0,478.0,,,
2010,Large,Westfield,,,,4433.0,2306.0,1064.0,995.0,876.0,1014.0,328.0,465.0,461.0,5449.553250571708,3868.577915713819,489.2458229462967
2010,Springfield,Springfield,,,,4859.0,2226.0,1511.0,1002.0,1081.0,778.0,654.0,362.0,1337.0,9084.43760364111,1321.6430772624003,-383.9149129962537
2011,Tiny,Chesterfield-Goshen,,,,4736.0,1466.0,1285.0,916.0,1015.0,835.0,607.0,165.0,779.0,4244.6547619047615,4431.916666666667,1909.744047619048
2011,Tiny,Clarksburg,,,,4009.0,2312.0,996.0,1692.0,736.0,1069.0,591.0,232.0,903.0,6852.326771653543,2140.0236220472443,506.6952755905516
2011,Tiny,Conway,,,,4074.0,1564.0,1340.0,1917.0,1105.0,739.0,934.0,451.0,499.0,3955.6375838926174,6751.140939597315,1607.8469798657716
2011,Tiny,Erving,,,,5520.0,4088.0,1848.0,2663.0,1672.0,1095.0,1163.0,433.0,1119.0,1456.8566308243728,7284.591397849463,4830.546953405018
2011,Tiny,Farmington River Reg,,,,5071.0,4375.0,3154.0,1808.0,1719.0,1882.0,858.0,166.0,604.0,,,
2011,Tiny,Florida,,,,4033.0,2261.0,1803.0,1064.0,913.0,1104.0,710.0,51.0,194.0,5428.865979381443,3954.896907216495,2536.098969072166
2011,Tiny,Hancock,,,,7623.0,455.0,1033.0,634.0,1092.0,621.0,558.0,0.0,618.0,1994.1368421052632,8088.347368421053,1483.8526315789477
2011,Tiny,Hawlemont,,,,5349.0,2787.0,1533.0,1736.0,1973.0,1584.0,1298.0,258.0,509.0,5774.163461538462,4574.826923076923,3278.288461538461
2011,Tiny,Leverett,,,,5818.0,2253.0,782.0,2074.0,1532.0,1072.0,710.0,314.0,651.0,2159.1869918699185,7625.235772357723,6989.590243902439
2011,Tiny,New Salem-Wendell,,,,4395.0,2459.0,727.0,2454.0,1267.0,1528.0,795.0,343.0,814.0,,,
2011,Tiny,Pelham,,,,5627.0,2602.0,888.0,2166.0,925.0,1089.0,478.0,459.0,384.0,2656.246913580247,5947.691358024691,8142.358024691358
2011,Tiny,Petersham,,,,4386.0,1399.0,1518.0,1735.0,1900.0,1055.0,414.0,586.0,669.0,5553.426666666666,5065.546666666667,3153.96
2011,Tiny,Richmond,,,,10680.0,2282.0,896.0,1392.0,1481.0,690.0,352.0,606.0,491.0,1758.042780748663,9042.72192513369,8606.577540106951
2011,Tiny,Rowe,,,,7635.0,5687.0,2907.0,1529.0,1718.0,2011.0,2121.0,207.0,1221.0,1140.5084745762713,8446.694915254237,15431.372881355932
2011,Tiny,Savoy,,,,4607.0,5246.0,1339.0,1592.0,938.0,836.0,970.0,200.0,121.0,5395.369565217391,3914.586956521739,1658.5043478260873
