Track,Album Name,Artist,Release Date,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Explicit Track
I KNOW ?,UTOPIA,Travis Scott,7/28/2023,139.5,"532,605,345",128534,81.0,"97,958,347","1,237,197","108,595,670","947,194,801",1
ANDO,ANDO,Jere Klein,9/27/2023,139.0,"292,789,738",28591,72.0,"406,307,035","809,942","68,341,852","872,862,858",1
First Class,First Class,Jack Harlow,4/8/2022,138.6,"818,858,244",223609,71.0,"231,229,581","2,756,840","624,748,318","6,890,780,336",1
FE!N,UTOPIA,Travis Scott,7/28/2023,137.8,"659,010,786",129923,86.0,"125,203,447","1,990,342","13,787,343","107,398,826",1
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,3/3/2023,137.7,"3,913,988",545,40.0,"1,577,017,938","9,304,666",,,1
Losing Interest - Original Mix,Losing Interest (Original),Goovex,6/10/2024,136.4,"126,247,886",5,1.0,,,,,0
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,5/13/2022,136.2,"1,607,421,145",212406,83.0,"409,785,349","3,326,477","155,593,087","1,825,552,705",0
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,136.2,"438,796,949",23959,78.0,"509,727,241","2,202,866","46,080,266","782,582,119",0
Drained of Color,Drained of Color,Exhumed,8/30/2022,134.0,"158,627",635,16.0,"2,156,140,830",,422,"4,484",0
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,7/24/2020,133.0,"1,867,736,006",302486,76.0,"747,126,783","10,795,292","160,756,733","1,768,836,179",1
Dynamite,Dynamite,BTS,8/21/2020,132.3,"1,872,577,908",144619,74.0,"2,638,957,320","62,311,179","662,794,945","5,063,720,138",0
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,12/10/2023,130.7,"8,327",3,,,,"3,646,489","73,318,253",0
Someone You Loved,Breach,Lewis Capaldi,11/8/2018,129.7,"3,427,498,835",338763,82.0,"2,153,701,892","20,891,433","212,007,614","2,161,032,034",0
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,5/11/2023,129.6,"230,849,195",23091,64.0,"363,082,908","5,135,848","104,580,759","1,551,501,289",0
Made You Look,Takin' It Back,Meghan Trainor,10/21/2022,129.5,"720,720,922",74295,77.0,"221,078,988","2,557,839","1,252,326,407","15,247,253,457",0
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,6/22/2023,129.4,"1,378,494",351,34.0,"1,022,331","22,739","90,289,248","1,272,592,848",0
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,5/29/2024,129.1,"2,827,545",62,,"54,330,074","801,621",,,0
vampire,vampire,Olivia Rodrigo,6/30/2023,128.9,"998,964,097",90793,18.0,"113,450,524","2,108,657","152,624,014","1,448,207,880",1
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,3/1/2024,128.5,"37,157,630",2052,74.0,"63,418,833","427,441","853,176","8,850,449",0
Back,Back,LOLA,8/3/2022,128.0,"48,428",92,3.0,"2,123,978,358","5,670,850","102,828","735,317",0
People,People - Single,Libianca,12/5/2022,127.8,"631,955,547",121823,74.0,"305,998,382","2,647,341","243,797,561","3,233,505,931",1
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,1/5/2024,127.4,,1,,,,"37,591,836","688,302,023",1
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,3/17/2024,127.3,"94,635,338",10537,,"944,314","17,943","182,937,084","1,542,242,100",1
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,4/5/2024,126.9,"114,574,238",10564,84.0,"9,134,225","124,326","4,419,373","79,796,400",0
Abc,Abc,J Ross,2/14/2023,126.6,"31,867",5,1.0,"1,538,564,650","2,066,653",,,0
La Bachata,La Bachata,Manuel Turizo,5/26/2022,126.2,"1,721,045,197",156941,81.0,"798,827,877","3,379,928","209,367,923","2,596,777,974",0
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,FLI:P,4/7/2023,125.4,"8,028,757",1972,44.0,"48,533,758","399,664","256,186,613","3,985,974,550",0
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,3/19/2021,125.2,"1,612,286,123",282719,74.0,"1,019,256,266","10,280,320","502,778,982","4,702,037,810",1
Don't Start Now,Don't Start Now,Dua Lipa,10/31/2019,124.6,"2,607,121,959",270230,78.0,"1,201,600,884","10,239,198","414,013,363","3,535,661,993",0
Lucid Dreams,Lucid Dreams,Juice WRLD,5/4/2018,123.9,"2,548,389,305",339306,78.0,"987,143,411","9,384,427","44,442,433","338,071,383",1
PROVENZA,PROVENZA,KAROL G,4/22/2022,123.8,"1,185,929,926",103026,76.0,"1,229,843,060","5,870,729","251,445,963","2,829,294,043",0
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,8/7/2020,123.4,"1,325,725,696",171255,72.0,"1,329,826,741","15,965,491","1,183,499,351","9,539,547,626",1
SPOT!,SPOT!,ZICO,4/26/2024,122.8,"77,757,035",3407,81.0,"100,148,771","2,531,168","46,645,177","366,905,484",0
Family Matters,Family Matters,Drake,5/3/2024,122.7,"72,335,127",8696,86.0,"41,492,122","1,034,563",,,1
Again,Missing,Kurochuu,6/9/2024,122.5,"136,237,285",2,2.0,,,,,0
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,122.4,"1,673,557,134",54950,80.0,"397,523,735","10,125,293","114,990,786","761,760,624",1
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,121.9,"922,010,059",107189,79.0,"141,852,059","567,295","61,112,010","811,685,466",1
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,121.2,"532,012,790",22396,85.0,"13,119,247","218,957",,,0
